authority-code,name,corporate_body_classification
EUSC,European Union Satellite Centre,AGENCY_CFSP
EUSR,European Union Special Representative,CB_EU
EVHAC,European Voluntary Humanitarian Aid Corps,CB_EU
FCH,Fuel Cells and Hydrogen 2 Joint Undertaking,EU_JU
FISMA,"Directorate-General for Financial Stability, Financial Services and Capital Markets Union",DIR_GEN
FPI,Service for Foreign Policy Instruments,SERV_DEP
FRA,European Union Agency for Fundamental Rights,AGENCY_DEC
FRONTEX,Frontex,AGENCY_DEC
FUSEN,Fusion for Energy Joint Undertaking,AGENCY_EURATOM
FVO,Directorate for Health and Food Audits and Analysis,DIR
G4,Group of 4,CB_EU
G6,Group of 6 EU,CB_EU
GCEU,General Court,EU_INST
GOVREP,Representatives of the Governments of the Member States,CB_EU
GOVREP_AUT,Representatives of the Government of the Republic of Austria,CB_EU
GOVREP_BEL,Representatives of the Governments of the Kingdom of Belgium,CB_EU
GOVREP_BGR,Representatives of the Government of the Republic of Bulgaria,CB_EU
GOVREP_CYP,Representatives of the Government of the Republic of Cyprus,CB_EU
GOVREP_CZE,Representatives of the Government of the Czech Republic,CB_EU
GOVREP_DEU,Representatives of the Government of the Federal Republic of Germany,CB_EU
GOVREP_DNK,Representatives of the Government of the Kingdom of Denmark,CB_EU
GOVREP_ESP,Representatives of the Government of the Kingdom of Spain,CB_EU
GOVREP_EST,Representatives of the Government of the Republic of Estonia,CB_EU
GOVREP_FIN,Representatives of the Government of the Republic of Finland,CB_EU
GOVREP_FRA,Representatives of the Government of the French Republic,CB_EU
GOVREP_GRC,Representatives of the Government of the Hellenic Republic,CB_EU
GOVREP_HRV,Representatives of the Government of the Republic of Croatia,CB_EU
GOVREP_HUN,Representatives of the Government of Hungary,CB_EU
GOVREP_IRL,Representatives of the Government of Ireland,CB_EU
GOVREP_ITA,Representatives of the Government of the Italian Republic,CB_EU
GOVREP_LTU,Representatives of the Government of the Republic of Lithuania,CB_EU
GOVREP_LUX,Representatives of the Government of the Grand Duchy of Luxembourg,CB_EU
GOVREP_LVA,Representatives of the Government of the Republic of Latvia,CB_EU
GOVREP_MLT,Representatives of the Government of the Republic of Malta,CB_EU
GOVREP_NLD,Representatives of the Government of the Kingdom of the Netherlands,CB_EU
GOVREP_POL,Representatives of the Government of the Republic of Poland,CB_EU
GOVREP_PRT,Representatives of the Government of the Portuguese Republic,CB_EU
GOVREP_ROU,Representatives of the Government of Romania,CB_EU
GOVREP_SVK,Representatives of the Government of the Slovak Republic,CB_EU
GOVREP_SVN,Representatives of the Government of the Republic of Slovenia,CB_EU
GOVREP_SWE,Representatives of the Government of the Kingdom of Sweden,CB_EU
GROW,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",DIR_GEN
HAS,Historical Archives Service,SERV_DEP
HOME,Directorate-General for Migration and Home Affairs,DIR_GEN
HR,Directorate-General for Human Resources and Security,DIR_GEN
HRUFASP,High Representative of the Union,EU_BODY
IAS,Internal Audit Service,SERV_DEP
IDEA,"IDEA – Inspire, Debate, Engage and Accelerate Action",SERV_DEP
IMI,IMI 2 Joint Undertaking,EU_JU
INEA,Innovation and Networks Executive Agency,AGENCY_EXEC
INTCEN,EU Intelligence and Situation Centre,CB_EU
INTPA,Directorate-General for International Partnerships,DIR_GEN
JRC,Joint Research Centre,DIR_GEN
JUST,Directorate-General for Justice and Consumers,DIR_GEN
LISA,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice",AGENCY_DEC
LRC,Library and e-Resources Centre,SERV_DEP
MARE,Directorate-General for Maritime Affairs and Fisheries,DIR_GEN
MOVE,Directorate-General for Mobility and Transport,DIR_GEN
MPC,Migration Policy Centre,CB_EU
NEAR,Directorate-General for Neighbourhood and Enlargement Negotiations,DIR_GEN
NP,National parliaments,CB_EU
OAMI,European Union Intellectual Property Office,AGENCY_DEC
OIB,Office for Infrastructure and Logistics in Brussels,SERV_DEP
OIL,Office for Infrastructure and Logistics in Luxembourg,SERV_DEP
OLAF,European Anti-Fraud Office,SERV_DEP
OMB,European Ombudsman,EU_BODY
OMB_SG,Secretariat-General of the European Ombudsman,CB_EU
OSHA,European Agency for Safety and Health at Work,AGENCY_DEC
PMO,Office for the Administration and Payment of Individual Entitlements,SERV_DEP
PUBL,Publications Office,EU_INTERINSTSERV
REA,Research Executive Agency,AGENCY_EXEC
REFORM,Directorate-General for Structural Reform Support,DIR_GEN
REGIO,Directorate-General for Regional and Urban Policy,DIR_GEN
REPRES_AUT,Representation in Austria,REPRES
REPRES_BEL,Representation in Belgium,REPRES
REPRES_BGR,Representation in Bulgaria,REPRES
REPRES_CYP,Representation in Cyprus,REPRES
REPRES_CZE,Representation in Czechia,REPRES
REPRES_DAN,Representation in Denmark,REPRES
REPRES_DEU,Representation in Germany,REPRES
REPRES_DEU_BER,Representation in Germany – Berlin,REPRES
REPRES_DEU_BON,Representation in Germany – Bonn,REPRES
REPRES_DEU_MUC,Representation in Germany – Munich,REPRES
REPRES_EST,Representation in Estonia,REPRES
REPRES_FIN,Representation in Finland,REPRES
REPRES_FRA,Representation in France,REPRES
REPRES_FRA_MRS,Representation in France – Marseille,REPRES
REPRES_FRA_PAR,Representation in France – Paris,REPRES
REPRES_GRC,Representation in Greece,REPRES
REPRES_HRV,Representation in Croatia,REPRES
REPRES_HUN,Representation in Hungary,REPRES
REPRES_IRL,Representation in Ireland,REPRES
REPRES_ITA,Representation in Italy,REPRES
REPRES_ITA_MIL,Representation in Italy – Milan,REPRES
REPRES_ITA_ROM,Representation in Italy – Rome,REPRES
REPRES_LIT,Representation in Lithuania,REPRES
REPRES_LUX,Representation in Luxembourg,REPRES
REPRES_LVA,Representation in Latvia,REPRES
REPRES_MLT,Representation in Malta,REPRES
REPRES_NLD,Representation in the Netherlands,REPRES
REPRES_PERM,Permanent representations,CB_EU
REPRES_POL,Representation in Poland,REPRES
REPRES_POL_WAW,Representation in Poland – Warsaw,REPRES
REPRES_POL_WRO,Representation in Poland – Wrocław,REPRES
REPRES_PRT,Representation in Portugal,REPRES
REPRES_ROU,Representation in Romania,REPRES
REPRES_SPA,Representation in Spain,REPRES
REPRES_SPA_BCN,Representation in Spain – Barcelona,REPRES
REPRES_SPA_MAD,Representation in Spain – Madrid,REPRES
REPRES_SVK,Representation in Slovakia,REPRES
REPRES_SVN,Representation in Slovenia,REPRES
REPRES_SWE,Representation in Sweden,REPRES
RSB,Regulatory Scrutiny Board,CB_EU
RSCAS,Robert Schuman Centre for Advanced Studies,CB_EU
RTD,Directorate-General for Research and Innovation,DIR_GEN
S2R,Shift2Rail Joint Undertaking,EU_JU
SAM_ADV,Group of Chief Scientific Advisors,CB_EU
SANTE,Directorate-General for Health and Food Safety,DIR_GEN
SCIC,Directorate-General for Interpretation,DIR_GEN
SC_OLAF,Supervisory Committee of OLAF,CB_EU
SESAR,SESAR Joint Undertaking,EU_JU
SG,Secretariat-General,SERV_DEP
SJ,Legal service,SERV_DEP
SKY,Clean Sky 2 Joint Undertaking,EU_JU
SRB,Single Resolution Board,AGENCY_DEC
SRSS,Structural Reform Support Service,SERV_DEP
STECF,"Scientific, Technical and Economic Committee for Fisheries",CB_EU
TAXUD,Directorate-General for Taxation and Customs Union,DIR_GEN
TRADE,Directorate-General for Trade,DIR_GEN
UKTF,UK Task Force,SERV_DEP
